Integration Time,100,,,,,,,,,,,,,,,,
Timestamp,2019-02-27 20_32_14.845000,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,
Temperature,-15.35,,,,,,,,,,,,,,,,
CCD C0,784.3300171,,,,,,,,,,,,,,,,
CCD C1,0.281829298,,,,,,,,,,,,,,,,
CCD C2,1.55E-05,,,,,,,,,,,,,,,,
CCD C3,-2.28E-08,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wavelength,2019-02-27 20:32:14 Toluene Spectrum,2019-02-27 20:37:51 Cyclohexane Spectrum,2019-02-27 20:40:21 Benzene Spectrum,2019-02-27 20:43:07 BMSB Spectrum,2019-02-27 20:44:15 Caffeine Spectrum,2019-02-27 20:44:39 Acetaminophen Spectrum,2019-02-27 20:45:00 AmmoniumNitrate Spectrum,2019-02-27 20:45:24 Acetone Spectrum,2019-02-27 20:45:43 Isopropanol Spectrum,2019-02-27 20:47:30 MineralOil Spectrum,2019-02-27 20:47:53 CoconutOil Spectrum,2019-02-27 20:48:12 Methanol Spectrum,2019-02-27 20:49:34 AmmoniumChloride Spectrum,2019-02-27 20:49:56 Fructose Spectrum,2019-02-27 20:50:27 Sugar Spectrum,2019-02-27 20:51:00 Sucrose Spectrum,2019-02-27 20:51:31 GlucoseSolution Spectrum
814.92,213.5,76.3,36.3,508.5,1967,8022.2,186.7,365.9,583.9,2092.4,6764.8,130.6,2545.6,12444.6,5485.2,1404,2199.6
815.2,140.7,81.8,33.5,472,2189,6900.5,179.3,410.5,597.6,2032.8,6705.6,122.6,2584,11398.8,5704.8,1564,2096.8
815.49,97.9,86.4,26.1,509.9,3117.2,6125.1,176,492.5,705,1972.4,6660,117.8,2623.8,8848.4,5880.2,1687.8,2066.8
815.77,86.7,86,31.1,520.3,6488.3,5816.7,175.5,623.1,959,1953.8,6660.4,119.2,2625.4,7303.8,5758.6,1599,2091
816.06,86.8,70.6,28.5,457.6,9117.5,5644,170.8,819.1,1362.6,1942.8,6613.4,125.2,2638.8,6680.4,5814,1600.8,2150.8
816.34,86.3,60,31.1,434.3,5534.3,5548.6,176.9,1060.7,1637.7,1920.6,6571.8,118,2649.2,6433,6144.2,1823,2263.8
816.63,101.6,50.8,32,424.2,2739.5,5525.3,167.3,1158.2,1494.7,1908,6547.4,112.6,2668.6,6398.2,6736.4,2243,2436.6
816.91,113.7,49.5,26.4,417.4,1877.6,5766.2,169.3,1080.8,1175.1,1912,6538.2,121.4,2606.4,6362,7070.6,2489.6,2507.8
817.2,139.5,45.1,30.2,413,1649.7,7032.7,159.4,956.4,844.7,1873.4,6511,137.2,2628.2,6501.6,6796.2,2307,2527
817.48,195.2,36.7,25.6,406.9,1572.3,7977.1,156.9,910.2,613.4,1790.6,6486.4,133,2558,6737.8,6295,1981.4,2532
817.76,311,39.7,28,409.8,1566.6,6310.5,161,939.3,465.2,1689.6,6441.2,125,2549.2,7314.6,6115,1842.2,2684
